# *** FINDMYPAST HARVEST PLAN - the trial expires 15 September 2026 ***
# Written 14 Sep 2026. Ordered by (value to this archive) x (unavailable anywhere else).
# *** THE RULE FOR A DEADLINE: take the things that EXIST NOWHERE ELSE FIRST, and the things that are
# merely convenient last. *** FamilySearch is free and permanent; whatever it also holds can wait.
rank	what	why it must be findmypast	what it would settle
*** 1 ***	*** THE 1921 ENGLAND AND WALES CENSUS *** - every Taylor sibling and their children	*** EXCLUSIVE TO FINDMYPAST. *** It is not on FamilySearch at any price, and the 1931 returns were destroyed by fire, so 1921 is the LAST census until the 1939 Register	Where all ten siblings had landed; the Dalling, Burton, Bell, Sweet and Wood households complete; and whether KATHLEEN GEORGINA, single at 41 in 1911, was still single at 51.
*** 2 ***	*** OUTBOUND PASSENGER LISTS (BT27), 1890-1920 *** - for MARY SEPTIMA TAYLOR, and for PABLO ARMANDO	Findmypast holds BT27 outbound. This is the single biggest open question on the Taylor page	*** THE EIGHT-YEAR HOLE. *** How a Devon pupil-teacher of sixteen in 1901 reached Cape Town and bore a son there in November 1905. A departure record would name the ship, the date and the party she travelled with.
*** 3 ***	*** THE 1939 REGISTER ***	Findmypast holds it; it is the substitute for the lost 1931 census	Addresses, occupations and MARRIED SURNAMES for the five sisters who lived into the 1950s-70s - Irene to 1969, Agnes to 1974, Isabella to 1953, Margaret after 1953, Lucy to 1957.
*** 4 ***	*** DEVON PARISH REGISTER IMAGES *** behind the five marriages found today	Today's five husbands came from an INDEX. This archive's own rule is never to rest on an index	The acts themselves: fathers' names and occupations for Dalling, Burton, Bell, Sweet and Wood - a whole generation of in-laws currently unknown.
*** 5 ***	*** BRITISH NEWSPAPER ARCHIVE *** (bundled with findmypast) - "Lerena" and the Taylors of Northam	Not on FamilySearch	Mary Septima's teaching career (the Western Times already gave her 1901 exam result); marriage and death notices; and any Lerena mention in the British press.
*** 6 ***	1891 and 1901 censuses - already read here on 9 Sep 2026	ALREADY DONE. Listed only so it is not repeated	-
#
# *** WHAT NOT TO SPEND THE LAST DAY ON. *** Anything FamilySearch also holds: GRO index entries,
# baptisms already read, Uruguayan and Argentine records. Findmypast adds nothing there, and those
# sources will still be free next week.
#
# *** AND A DISCIPLINE NOTE FOR A RUSHED HARVEST. *** The temptation under a deadline is to screenshot
# and sort later. *** Do not. *** This archive's whole method is that a record is READ, TIERED and
# CITED at the moment it is opened. A folder of unread images is not evidence, and in a fortnight
# nobody will remember which was which. Capture the citation - collection, piece, folio, schedule -
# with every single one.
