# *** IS THERE A JUAN CARLOS LERENA IN ITALIAN RECORDS? - asked and tested 16 September 2026. ***
# David's question, and it is a better one than it looks, because the archive's own DNA page already
# argues that *** Pablo Armando had about one Italian parent *** and that the signal is NORTHERN.
#
# *** METHOD: EXACT MATCH, because the default is not. *** A fuzzy FamilySearch search for LERENA in
# Italy returns *** 9,112 *** and is worthless - the results include Lorino, Loreno, Lorena, Lorosano
# and Lorrai. *** Forcing exact match returns 66. *** Every number below is exact-match.
query	result	reading
*** LERENA, exact, Italy ***	*** 66 records. ***	*** THE SURNAME IS ITALIAN AS WELL AS SPANISH, AND THIS ARCHIVE DID NOT KNOW THAT. *** The cluster is the *** DIOCESE OF TORINO *** - Bartolomeo, Teresa, Anna Maria, Eduardo, Caterina, Luigi, Paolo, Giovanni, Giuseppe, Vincenzo, Giacomo, Margherita, Domenica, Maddalena, Adelaide, Irma. *** All Italian forenames, in Piedmont. ***
*** LERENA + forename CARLO, exact, Italy ***	*** ZERO. ***	*** A CONTROLLED NULL: *** the identical search without a forename returns 66, so the mechanism works and the surname is in the index. *** There is no Carlo Lerena in Italy at all. ***
*** LERINA, exact, Italy ***	*** 114 records - MORE than Lerena. ***	Also Torino-centred, plus *** Ivrea, Catania, Messina and Mantova. *** *** This is the commoner Italian spelling of the two ***, which matters because CEMLA has Lerinas landing at Buenos Aires.
*** LERINA + forename CARLO ***	*** 5 records. ***	Carlo Lerina b. 18 Dec 1917 Torino (too late); *** CARLO DOMENICO LERINA, baptised IVREA 30 May 1858, born 28 May 1858, parents ANTONIO LERINA and GIUSEPPA PEAN-CONTO *** ; one at Catania 1846; two without dates. *** Only the Ivrea man is age-plausible - he would be 23 when Pablo Armando was born. NOTHING WHATEVER TIES HIM TO ARGENTINA, and he is recorded here as a name-shaped coincidence, not a candidate. ***
*** LERINA + forename GIOVANNI ***	*** 6 records, NONE of them Giovanni Carlo. ***	The best-dated is *** Giovanni Lerina, b. 1863, marriage banns at Torino 24 April 1887, parents Luigi and Luigia Cosi *** - *** which rules him out twice over: *** he was 19 when Pablo Armando was born, and he was posting banns in Turin five years later, so he was in Italy.
#
# *** THE ANSWER TO THE QUESTION AS ASKED: NO. ***
# *** There is no GIOVANNI CARLO or GIAN CARLO Lerena or Lerina anywhere in FamilySearch's Italian
# index, under either spelling. *** Carlo and Giovanni both occur; they never occur together.
#
# *** BUT THE SEARCH TURNED UP SOMETHING BETTER THAN A NAME, AND IT CONVERGES WITH THE DNA. ***
# The archive's DNA page already reasons: Cheryl is *** 11.1% Italian at MyHeritage ***, her other three
# grandparents are not Italian, *** which implies roughly 44% in Pablo Armando - about one Italian
# parent *** - and the split is *** NORTHERN-DOMINANT, 6.1% north against 3.6% south. ***
# *** The Italian Lerenas and Lerinas are in TURIN and IVREA. That is Piedmont. That is the north. ***
# *** Two independent things now point the same way *** - an admixture estimate and a surname
# distribution - *** and neither of them is a record naming anybody. Stated as convergence, not proof. ***
#
# *** WHY THIS NULL IS WEAKER THAN THE COUNT MAKES IT LOOK. ***
# *** FamilySearch's Italian coverage is partial and wildly uneven by province. *** Civil registration
# is indexed for some tribunali and not others; church records for some dioceses and not others.
# *** A man who left for Argentina before 1882 may have no indexed Italian record at all *** - and if he
# was baptised GIOVANNI and became JUAN CARLOS on the far side of the Atlantic, *** the Carlos may never
# have existed in Italy to be indexed. *** That is the ordinary shape of an emigrant's name.
# *** So: no Juan Carlos found, and the absence proves very little. ***
