# *** THE CANELONES FILMS - WHERE SANCHO'S 1791 MARRIAGE ACTUALLY IS. 14 September 2026. ***
# For weeks this archive has recorded the 1791 act as unreachable, on the strength of a full-text
# search that found no Canelones marriage register. *** The register is filmed, the images are open,
# and there is an index to it. *** The catalogue entry is below, item by item, so that nobody has to
# re-derive it - and so that the next session can go straight to the right reel.
what	the catalogue entry	DGS / where	what it means
*** THE MARRIAGE REGISTER THAT COVERS 8 JANUARY 1791 IS FILMED ***	*** "Matrimonios, Libros 1-3, (sep.) 1776-1854 (dic.)" ***	*** DGS 8166578, items 11-13 *** (old film 2274694)	*** THIS RETIRES THE ARCHIVE'S STANDING VERDICT THAT THE 1791 ACT IS 'PROBABLY NOT DIGITISED'. *** That verdict came from a FULL-TEXT search, and full text covers a fraction of what is filmed. *** The register begins in SEPTEMBER 1776, fifteen years before the marriage, and runs unbroken to 1854. *** *** The images are NOT restricted *** - checked by opening the film and by the thumbnail grid, which shows padlocks where access is blocked and shows none here.
*** AND THERE IS AN INDEX TO IT, COVERING 171 YEARS ***	*** "Indice de matrimonios, 1776-1947" ***	*** DGS 8166578, item 10 *** - immediately before the registers on the same reel	*** THIS IS THE FAST ROUTE AND IT HAS NEVER BEEN TOUCHED. *** An alphabetical index of Canelones marriages spanning 1776 to 1947 should answer in one opening whether a LERENA or LLERENA married there in 1791, *** and if it does, it gives the libro and folio for the act itself. *** It is the same shape as the Rosario baptism index this archive read end to end - the method is proven, only the film is new.
*** THE INFORMACIONES MATRIMONIALES FOR 1791 ARE ALSO FILMED, ON A DIFFERENT REEL ***	*** "Informaciones matrimoniales, Carpetas 1-6, 1776-1806" ***	*** DGS 8166573, items 6-11 ***	*** The pre-marriage investigation is worth MORE than the act. *** It routinely gives a Spanish groom's PARENTS, BIRTHPLACE and how long he has been in the country - which would settle Sancho-or-Francisco, test Cordoba, and test Felix Lerena and Rosalia Aguilar in one document. *** And this archive has ALREADY been inside this series: *** Sancho appears in it as a sworn witness at somebody else's marriage, ark 3:1:3Q9M-CS2Z-W45W, which sits at image 2167 of that reel. *** So the series is readable, and his own expediente - if it survives - is in the same six carpetas. ***
*** THE WAY IN, WHEN THE CATALOGUE SEARCH IS BROKEN ***	*** Catalogue record koha:1294117 *** - "Registros parroquiales, parroquia Nuestra Senora de Guadalupe, Canelones 1776-2004", 10 reels, filmed 2005.	https://www.familysearch.org/search/catalog/koha:1294117	*** The catalogue SEARCH BOX returned 'Something Went Wrong' all day on 14 September 2026, for every query, while full-text search and the film viewer worked normally. *** *** A DIRECT CATALOGUE ID still worked *** - the diagnostic this archive wrote down on 13 September and used again here. *** AND THERE IS A SECOND WAY IN THAT IS BETTER: *** open any image of the film, expand the viewer's *** INFORMATION *** tab, and it prints the catalogue record link plus the item-by-item contents of that reel. *** That is how koha:1294117 was recovered without the search box at all. ***
*** A MIS-ATTRIBUTION THAT WOULD SEND A RESEARCHER TO THE WRONG CONTINENT ***	Image 2631 of this Canelones reel opens under the page title *** "Colombia, Catholic Church Records, 1576-2019" *** and its citation block reads *** "Colombia, registros parroquiales y diocesanos... La Arquidiocesis de Caragena (The Archdiocese of Cartagena), Colombia." ***	ark 3:1:3Q9M-CS2Z-WNTL, cc=1726975	*** The image is Canelones, Uruguay. *** Its own Information panel names catalogue record koha:1294117 and lists the Canelones items. *** The collection attribution is simply wrong on FamilySearch's side. *** *** Recorded because a researcher who trusted the page title would conclude this reel is Colombian and abandon it *** - and because a future reader of this archive, finding a Colombian citation attached to a Uruguayan act, should know it was seen and understood rather than missed.
#
# ================ *** HOW TO READ THESE IMAGES, WORKED OUT 14 SEPTEMBER 2026 *** ================
#
# The film viewer in this session's browser renders an image in 30-60 seconds and often not at all, so
# browsing 3,222 images through it is not practical. *** THE DEEPZOOM TILES ARE, and they are fast. ***
