# *** THE HUNT FOR SANCHO'S OWN MARRIAGE ACT - Canelones, 8 January 1791 - 14 September 2026 ***
#
# This is the document that would settle SANCHO-OR-FRANCISCO and test the unattested "AGUILAR". Its
# credit rose sharply today when the 1830 marriage act put "MARIA FERNANDEZ TRESGUERRAS" on paper - a
# matronymic this archive had only ever had from a published tree.
what was tried	result	what it means
Full text, "Tresguerras" alone	*** ELEVEN PAGES, and almost all MEXICAN *** - Morelia, Celaya, Mexico City, Madrid. Francisco Eduardo Tresguerras the architect dominates the name	The surname is overwhelmingly Mexican in the transcribed corpus. Not a route in.
Full text, "Fernandez Tresguerras"	*** EIGHT documents, of which exactly ONE is Uruguayan *** - and it is the one that matters, below	A single thread, and it was worth pulling.
Records search, surname Tresguerras, Uruguay	83 results, *** every one of them fuzzy noise *** - Trasarra, Trazorras, Treserros, Trasvarro, Crasorras. Not one real Tresguerras	*** THE NAME IS IN NO URUGUAYAN INDEX AT ALL. *** It exists in this archive only in the two ACTS read here. An index search will never find these people; only reading acts will.
Canelones marriage registers, 1791	*** NOT PRESENT IN FULL TEXT. *** The Canelones Catedral appears with Baptism Records 1794-1810, Confirmation Records 1804 and Religious Marriage Investigation Files 1776-1806 - *** and no marriage register ***	*** THE 1791 ACT IS PROBABLY NOT DIGITISED. *** Its parish's OTHER books are, and this one is not. The Investigation Files 1776-1806 remain the best hope: a marriage at Canelones in 1791 should have left an informacion de libertad in that very bundle, and this archive has already found Sancho inside it as a sworn witness at somebody else's.
#
# ================ *** BUT THE ONE URUGUAYAN HIT IS A REAL LEAD ON HER FAMILY *** ================
#
# Catedral de la Inmaculada Concepcion, Montevideo, *** 15 MAY 1812 *** - ark 3:1:3Q9M-C9BW-X7PG-M:
#   "bautice solemnemente a BONIFACIA AGUSTINA que nacio el dia catorce ... hija legitima de DON FELIX
#    MALBAREA y de DONA MICAELA FERNANDEZ, naturales de esta Ciudad. Abuelos Paternos Don Bernardo
#    Malbares y Dona Manuela Lozano: *** Abuelos Maternos DON RODRIGO FERNANDEZ Y TRESGUERRAS y DONA
#    ROSA FERNANDEZ. *** Fueron Padrinos DON JUAN AGUSTIN SERENA y DONA AGUSTINA PERENA."
#
# *** DON RODRIGO FERNANDEZ Y TRESGUERRAS IS THE FIRST PURCHASE THIS ARCHIVE HAS EVER HAD ON MARIA'S
# OWN FAMILY. *** A man of that exact compound surname, at Montevideo, with a daughter MICAELA of
# marriageable age by 1812. *** Maria Fernandez Tresguerras is very plausibly his daughter and Micaela's
# sister - and that is a PLAUSIBILITY, not a finding. *** No act read here says so.
#
# *** AND THE GODPARENTS ARE WRITTEN "SERENA" AND "PERENA". *** This archive has documented the machine's
# S-for-L on this family five times - Abelino Serena, Luis Serena, Avelino Serena, Levena, Sancio. So
# "Juan Agustin Serena y Agustina Perena" is very likely a LERENA couple standing at the font of a
# Fernandez y Tresguerras grandchild in 1812. *** If so, the two families were already joined - which is
# exactly what a marriage in 1791 would predict. ***
#
# *** SAID AGAINST MYSELF: *** Juan Agustin cannot be Sancho's son, who would be a child in 1812. He
# would be a brother, a cousin, or no relation at all - and "Serena" may simply be Serena. *** The
# reading is offered as the next thing to test, not as a result. *** The act to open is the 1812 image
# itself at full magnification, to see whether the hand wrote L or S.
